,features_used,removed,scores
20,"['5 day ema', '7 day ema', '7 day lower bband', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",3 day momentum,0.6135957066189625
21,"['5 day ema', '7 day ema', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",7 day lower bband,0.6207513416815742
22,"['7 day ema', '3 day cumulation', '5 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",5 day ema,0.6225402504472272
23,"['7 day ema', '3 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",5 day cumulation,0.6243291592128801
24,"['3 day cumulation', '7 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",7 day ema,0.6225402504472272
25,"['3 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '5 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",7 day cumulation,0.629695885509839
26,"['3 day cumulation', '100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",5 day simple moving average,0.629695885509839
27,"['100 day cumulation', '5 day momentum', '7 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",3 day cumulation,0.6153846153846154
28,"['5 day momentum', '7 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '200 day simple moving average', '26/12 macd', 'Volume']",100 day cumulation,0.6100178890876565
29,"['5 day momentum', '7 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '26/12 macd', 'Volume']",200 day simple moving average,0.6028622540250447
30,"['5 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '100 day simple moving average', '26/12 macd', 'Volume']",7 day momentum,0.627906976744186
31,"['5 day momentum', '3 day simple moving average', '7 day simple moving average', '14 day simple moving average', '26/12 macd', 'Volume']",100 day simple moving average,0.6422182468694096
32,"['5 day momentum', '7 day simple moving average', '14 day simple moving average', '26/12 macd', 'Volume']",3 day simple moving average,0.6440071556350626
33,"['5 day momentum', '7 day simple moving average', '14 day simple moving average', '26/12 macd']",Volume,0.6350626118067979
34,"['7 day simple moving average', '14 day simple moving average', '26/12 macd']",5 day momentum,0.6368515205724508
35,"['7 day simple moving average', '26/12 macd']",14 day simple moving average,0.6332737030411449
36,['26/12 macd'],7 day simple moving average,0.554561717352415
